"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"3923321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5317684",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"5186623",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"1094258",0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,4.22853795189551,3.80568415670596,3.42511574103537,3.08260416693183,2.77434375023865,2.49690937521478,2.2472184376933
"5326237",0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621,3.01127925591559,2.71015133032403,2.43913619729163,2.19522257756246,0.941431788270001,0.847288609443001
"4683488",0,0,0,0,0,0,0,0,1,6.08248560137009,5.47423704123308,4.92681333710977,4.43413200339879,3.99071880305891,3.59164692275302
"2392693",0,0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769
"4150558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5173013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5311690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5292017",3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938,0.86093442,0.774840978,0.6973568802,0.62762119218,0.564859072962,0.5083731656658,0.45753584909922
"3822119",3.38629436111989,3.0476649250079,8.61840404426376,7.75656363983738,10.2105489114273,9.18949402028457,8.27054461825612,10.653684807707,9.58831632693634,8.6294846942427,7.76653622481843,6.98988260233659,6.29089434210293,8.59334253690356,7.73400828321321
"5180552",16.7505568153683,15.0755011338315,17.2454608892251,15.5209148003026,13.9688233202724,12.5719409882451,11.3147468894206,13.5569152794938,12.2012237515444,29.8860451070436,35.2315301090017,31.7083770981016,28.5375393882914,25.6837854494623,23.115406904516
"2068024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1083054",0,1,12.7820769691633,11.503869272247,10.3534823450223,12.7197687348389,11.4477918613551,10.3030126752195,9.27271140769759,11.5947103061307,10.4352392755176,9.39171534796585,8.45254381316927,33.8674657618529,30.4807191856677
"4172182",0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938
"4457090",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"1884014",0,0,0,16.7505568153683,15.0755011338315,21.0944572625153,18.9850115362638,17.0865103826374,22.9523570842498,20.6571213758248,18.5914092382423,16.7322683144181,15.0590414829763,13.5531373346787,12.1978236012108
"2053877",0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,2.4089046394711,2.16801417552399,1.95121275797159,1.75609148217444,0.96991059609,0.872919536481,0.7856275828329
"2061020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5298406",0,0,0,0,0,0,0,0,20.6213710433872,18.5592339390485,16.7033105451436,15.0329794906293,13.5296815415663,12.1767133874097,18.0475290004601
"5330902",0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401,0.31381059609,0.282429536481,0.2541865828329
"4326054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1007277",0,0,0,0,1,0.9,0.81,0.729,19.5494701805358,17.5945231624822,15.835070846234,14.2515637616106,12.8264073854495,11.5437666469046,10.3893899822141
"3724862",0,0,0,0,0,0,0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621
"5201232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3813319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
