"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1707435",0,0,0,1,0.9,0.81,0.729,0.6561,5.36731191125412,4.83058072012871,4.34752264811584,3.91277038330426,3.52149334497383,3.16934401047645,2.8524096094288
"1424741",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"5055422",0,0,0,1,3.21434684781959,2.89291216303763,2.60362094673387,2.34325885206048,4.65259009152441,4.18733108237197,3.76859797413477,3.3917381767213,3.05256435904917,2.74730792314425,2.47257713082983
"2962941",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"1115136",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"4128928",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"4828131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5309242",0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489
"5258417",0,0,0,1,0.9,0.81,0.729,0.6561,5.36731191125412,4.83058072012871,4.34752264811584,3.91277038330426,3.52149334497383,3.16934401047645,2.8524096094288
"4809946",0,0,1,6.08248560137009,5.47423704123308,4.92681333710977,4.43413200339879,3.99071880305891,20.45070070658,22.282772517802,23.9759604414051,21.5783643972646,19.4205279575381,17.4784751617843,19.3994639178762
"5301823",0,1,3.21434684781959,2.89291216303763,2.60362094673387,4.96525841859653,4.46873257673688,4.02185931906319,3.61967338715687,3.25770604844119,2.93193544359707,2.63874189923736,4.85411480273067,4.3687033224576,3.93183299021184
"3512758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5169381",0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938
"5368765",0,0,0,0,0,0,0,0,9.54517744447956,8.59065970003161,7.73159373002845,6.9584343570256,6.26259092132304,5.63633182919074,5.07269864627167
"5313648",0,0,0,0,0,0,0,0,9.54517744447956,8.59065970003161,7.73159373002845,6.9584343570256,6.26259092132304,5.63633182919074,5.07269864627167
